,coc,con,brc,brn,OC,BCM,BC,MBC,SCA,SC,ST,Year
0,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",AI,Agricultural and Irrigation Engg.(SS),196.25,193.25,195.25,194.25,185.75,188.75,175.25,2017
1,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",BY,Bio Medical Engg(SS),198.25,197.25,197.5,196.5,191.75,193.0,188.0,2017
2,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CE,Civil Engineering,198.5,197.5,198.0,197.5,193.5,196.0,196.0,2017
3,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CM,Computer Science and Engg.(SS),199.0,199.0,198.75,197.75,190.5,193.5,193.33,2017
4,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CS,Computer Science and Engg.,199.75,199.5,199.5,199.0,196.25,197.5,193.75,2017
5,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EC,Electronics and Comm Engg.,200.0,199.75,199.75,199.25,197.0,198.25,190.25,2017
6,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EE,Electrical and Elec. Engg.,199.25,198.5,199.0,198.75,197.0,196.5,193.25,2017
7,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EM,Electronics and Comm Engg(SS),199.25,198.0,199.0,198.5,194.5,195.5,189.0,2017
8,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IM,Information Technology(SS),198.5,197.75,198.0,197.0,184.5,191.5,172.0,2017
9,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",ME,Mechanical Engineering,199.25,198.5,199.0,198.25,196.5,196.5,190.75,2017
